"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 30 19:46:04 CST 2026","Tue Jun 30 19:46:04 CST 2026","281","testcases","test_login","TestPosts","","","创建帖子（数据驱动）","
        数据驱动测试：用 3 组不同数据执行同一条测试逻辑
        使用 cleanup_posts 自动清理创建的数据
        "
"passed","Tue Jun 30 19:46:03 CST 2026","Tue Jun 30 19:46:03 CST 2026","218","testcases","test_comments","TestComments","","","获取不存在的评论（404）","GET /comments/99999 验证返回 404"
"passed","Tue Jun 30 19:45:59 CST 2026","Tue Jun 30 19:46:00 CST 2026","1045","testcases","test_comments","TestComments","","","获取单条评论","GET /comments/1 验证返回单条评论"
"passed","Tue Jun 30 19:46:13 CST 2026","Tue Jun 30 19:46:13 CST 2026","212","testcases","test_todos","TestTodos","","","过滤已完成的待办","GET /todos?completed=true 验证过滤"
"passed","Tue Jun 30 19:46:03 CST 2026","Tue Jun 30 19:46:03 CST 2026","473","testcases","test_login","TestPosts","","","获取帖子列表","
        测试用例：获取帖子列表
        验证点：
            1. 状态码为 200
            2. 返回数据是列表
            3. 列表不为空
        使用步骤：
            allure.step 让报告中的步骤更清晰
        "
"passed","Tue Jun 30 19:46:00 CST 2026","Tue Jun 30 19:46:00 CST 2026","283","testcases","test_comments","TestComments","","","创建评论（数据驱动）","POST /comments 创建评论（参数化）"
"passed","Tue Jun 30 19:46:07 CST 2026","Tue Jun 30 19:46:07 CST 2026","277","testcases","test_photos","TestPhotos","","","创建照片（数据驱动）","POST /photos 创建照片（参数化）"
"passed","Tue Jun 30 19:46:06 CST 2026","Tue Jun 30 19:46:07 CST 2026","281","testcases","test_photos","TestPhotos","","","创建照片（数据驱动）","POST /photos 创建照片（参数化）"
"passed","Tue Jun 30 19:46:05 CST 2026","Tue Jun 30 19:46:06 CST 2026","830","testcases","test_photos","TestPhotos","","","获取单张照片","GET /photos/1 验证返回单张照片"
"passed","Tue Jun 30 19:46:12 CST 2026","Tue Jun 30 19:46:12 CST 2026","280","testcases","test_todos","TestTodos","","","使用动态数据创建待办","验证使用随机数据创建待办"
"passed","Tue Jun 30 19:46:07 CST 2026","Tue Jun 30 19:46:07 CST 2026","285","testcases","test_photos","TestPhotos","","","创建照片（数据驱动）","POST /photos 创建照片（参数化）"
"passed","Tue Jun 30 19:46:13 CST 2026","Tue Jun 30 19:46:13 CST 2026","291","testcases","test_todos","TestTodos","","","删除待办","DELETE /todos/1 验证删除"
"passed","Tue Jun 30 19:46:01 CST 2026","Tue Jun 30 19:46:01 CST 2026","753","testcases","test_comments","TestComments","","","创建评论（数据驱动）","POST /comments 创建评论（参数化）"
